Threshold, DrainDen, NoFirstOrd,NoHighOrd, MeanDFirstOrd, MeanDHighOrd, StdDevFirstOrd, StdDevHighOrd, T
4.240769, 1.858810e-001, 41, 13, 11.765634, 15.577801, 10.701341, 14.961270, -1.013137
4.743742, 1.858810e-001, 41, 13, 11.765634, 15.577801, 10.701341, 14.961270, -1.013137
5.306368, 1.658886e-001, 32, 7, 11.364105, 24.661419, 9.598669, 19.874548, -2.681423
5.935724, 1.658886e-001, 32, 7, 11.364105, 24.661419, 9.598669, 19.874548, -2.681423
6.639725, 1.519594e-001, 27, 4, 10.427879, 29.176792, 9.309037, 14.874454, -3.489380
7.427222, 1.441933e-001, 24, 4, 9.364968, 29.176792, 9.336506, 14.874454, -3.620934
8.308121, 1.359077e-001, 23, 3, 10.531842, 26.506149, 12.329730, 13.523805, -2.092967
9.293496, 1.298077e-001, 18, 3, 13.622522, 17.671610, 14.574445, 20.089737, -0.425791
10.395742, 1.239043e-001, 15, 3, 13.685781, 13.603027, 13.597204, 22.660582, 0.008704
11.628719, 1.198376e-001, 15, 3, 13.074842, 13.603027, 13.391617, 22.660582, -0.056164
13.007931, 1.134147e-001, 14, 3, 14.495878, 4.238424, 14.161797, 6.440618, 1.203908
14.550723, 1.097154e-001, 14, 3, 14.111840, 4.238424, 14.087547, 6.440618, 1.164752
16.276497, 1.051737e-001, 12, 3, 17.104366, 4.238424, 13.584224, 6.440618, 1.563468
18.206953, 1.031404e-001, 11, 3, 18.195524, 4.238424, 13.485264, 6.440618, 1.702284
20.366371, 1.014743e-001, 11, 3, 17.602804, 4.238424, 13.499294, 6.440618, 1.628373
22.781902, 9.604590e-002, 9, 3, 18.678404, 4.238424, 14.192422, 6.440618, 1.664006
25.483927, 9.338547e-002, 8, 3, 23.747591, 4.238424, 17.262291, 6.440618, 1.856319
28.506422, 8.737452e-002, 7, 2, 23.939426, 6.092575, 19.307819, 7.895306, 1.228219
31.887396, 8.612039e-002, 7, 2, 23.782961, 6.092575, 19.290457, 7.895306, 1.218517
Optimum Threshold Value: 4.240769
